159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,5
0,0,2400,0,0,0,0,11,0,0,0,0,0,0,0,0,7189
